title,price
Бухгалтер по первичной документации, 5000 грн
Бариста, 5000 грн
Офис-менеджер, 5000 грн
Рабочий в мобильную бригаду, 5000 грн
Промоутер (ст. м. Льва Толстого), 5000 грн
Юрист, 5000 грн
Оператор call-центра, 5000 грн
Координатор легкового шиномонтажа, 5000 грн
Бармен-официант, 5000 грн
Бухгалтер-кассир, 5000 грн
Администратор в стоматологическую клинику (Печерск), 5000 грн
Контент-менеджер, 5000 грн
Экспедитор, 5000 грн
Вихователь в приватний дитячий садок, 5000 грн
Продавец-консультант (парфюмерия  Здолбуновская  Харьковское шоссе), 5000 грн
Специалист по администрированию заказов, 5000 грн
Упаковщик готовых заказов в химчистку, 5000 грн
"Журналіст відділу ""Економіка та фінанси""", 5000 грн
Оператор Call-Center, 5000 грн
Оператор call-центра, 5000 грн
Автомойщик, 5000 грн
Помощник менеджера по кадровому делопроизводству, 5000 грн
Электрик  сантехник, 5000 грн
Ассистент аккаунт-менеджера, 5000 грн
Рабочая в прачечный цех, 5000 грн
Посудомойщица в ресторан (ст. м. Левобережная), 5000 грн
Менеджер по рекламе, 5000 грн
Оператор колл-центра, 5000 грн
Комплектовщик, 5000 грн
Кассир в отделение банка (ст. м. Святошин), 5000 грн
Рерайтер, 5000 грн
"Грузчик (ТРЦ ""Лавина"")", 5000 грн
"Продавец-консультант (ТМ Tommy Hilfiger  ТЦ ""Караван"")", 5000 грн
Менеджер по работе с клиентами, 5000 грн
Диспетчер, 5000 грн
Продавец-консультант (лечебная косметика), 5000 грн
Секретарь, 5000 грн
"Продавец-консультант в ТРЦ ""Караван""", 5000 грн
Помощник печатника  печатник шелкотрафарет, 5000 грн
Мерчендайзер, 5000 грн
Упаковщик-комплектовщик (жалюзи  роллеты), 5000 грн
Повар, 5000 грн
"Кассир в сеть заведений ""Таки Було""", 5000 грн
Разнорабочий на производство, 5000 грн
Администратор в стоматологию, 5000 грн
Фасовщик-комплектовщик, 5000 грн
Офис-менеджер, 5000 грн
Менеджер по продажам, 5000 грн
Лаборант-бактериолог, 5000 грн
"Бармен в ""Мураками"" (с обучением  Подол)", 5000 грн
Водитель  грузчик (ночная смена), 5000 грн
Кассир в премиум-класса ресторан, 5000 грн
Продавец-консультант (линии раздачи в ресторан), 5000 грн
Горничная, 5000 грн
Промоутер, 5000 грн
Продавец-консультант (парфюмерия  Оболонь  Малиновского), 5000 грн
Оператор 1С, 5000 грн
Водитель-экспедитор, 5000 грн
Разнорабочий-грузчик в цех кондитерских изделий, 5000 грн
Оператор массажного аппарата, 5000 грн
Кассир в грузинский ресторан, 5000 грн
Помощник бухгалтера  офис-менеджер, 5000 грн
Хостес, 5000 грн
Помощник руководителя, 5000 грн
Инспектор по инвентаризации (Академгородок), 5000 грн
Кассир, 5000 грн
Секретарь, 5000 грн
Рабочий (постпечатная обработка рекламной полиграфии), 5000 грн
Кладовщик, 5000 грн
Web-верстальщик, 5000 грн
Помощник менеджера по персоналу, 5000 грн
Ассистент стоматолога  медицинская сестра, 5000 грн
Помощник маркетолога, 5000 грн
Официант, 5000 грн
Продавець в магазин спортивних товарів, 5000 грн
Офис-менеджер, 5000 грн
Рабочий склада, 5000 грн
Помощник педагога, 5000 грн
Курьер, 5000 грн
Медсестра, 5000 грн
Кладовщик, 5000 грн
Литейщик на МЛВ, 5000 грн
Рабочий на склад металлопроката, 5000 грн
Бармен, 5000 грн
Агроном-садовник в ресторанный комплекс, 5000 грн
Повар  помощник повара, 5000 грн
Оператор Call-centre, 5000 грн
Cервис-инженер, 5000 грн
Администратор, 5000 грн
Косметолог-эстетист, 5000 грн
Рекрутер, 5000 грн
Оператор (допечатная подготовка), 5000 грн
Кладовщик, 5000 грн
Водитель категории В, 5000 грн
Уборщица, 5000 грн
Разнорабочий, 5000 грн
Администратор салона красоты, 5000 грн
Медсестра (вызов на дом), 5000 грн
Офис-менеджер, 5000 грн
Cервис-инженер, 5000 грн
Секретарь  администратор, 5000 грн
Офис-менеджер  секретарь  администратор, 5000 грн
Курьер, 5000 грн
Бухгалтер-кассир, 5000 грн
Контент-менеджер, 5000 грн*
Менеджер по персоналу  рекрутер, 5000 грн*
Бухгалтер, 5000 грн*
Инспектор охраны, 5000 грн*
Секретарь  ассистент руководителя, 5000 грн*
Оператор call-центра (входящие звонки), 5000 грн*
Научный редактор, 5000 грн*
Администратор гостиницы, 5000 грн*
Курьер (Подол), 5000 грн*
Тренер (гимнастика  черлидинг), 5000 грн*
Администратор салона красоты, 5000 грн*
Инструктор на батуты  гимнаст, 5000 грн*
Бариста, 5000 грн*
Администратор входа в ночной клуб (фейс-контроль), 5000 грн*
Посудомойщица-уборщица в ресторан (ст. м. Позняки), 5000 грн*
Кладовщик (ст. м. Оболонь), 5000 грн*
Контент-менеджер, 5000 грн*
Швея (ученица), 5000 грн*
Оператор call-центра, 5000 грн*
Менеджер по персоналу  рекрутер, 5000 грн*
Ассистент стоматолога, 5000 грн*
Товаровед на склад бусин и товаров для рукоделия, 5000 грн*
Редактор интернет-издания, 5000 грн*
Мойщик, 5000 грн*
Кассир в ресторан, 5000 грн*
Оператор call-центра (Троещина), 5000 грн*
Менеджер по работе с клиентами (инфобизнес  тренинги), 5000 грн*
Повар в супермаркет (ст. м. Вокзальная), 5000 грн*
Повар (Севастопольская пл.), 5000 грн*
Столяр, 5000 грн*
Массажист  помощник массажиста, 5000 грн*
Гладильщица, 5000 грн*
Повар на салаты (Севастопольская пл.), 5000 грн*
Копирайтер  рерайтер, 5000 грн*
Охоронник, 5000 грн*
Переводчик c русского на английский, 5000 грн*
Повар, 5000 грн*
Провизор  менеджер по продажам медицинских препаратов, 5000 грн*
Оператор call-центра, 5000 грн*
Няня в игровую зону  воспитатель, 5000 грн*
Уборщица на склад (ст. м. Лесная), 5000 грн*
Мийниця посуду, 5000 грн*
Менеджер по работе с клиентами, 5000 грн*
Кухар, 5000 грн*
Бухгалтер, 5000 грн*
Консультант по обслуживанию клиентов (на телефон), 5000 грн*
Кладовщик, 5000 грн*
Бариста  продавец в магазин кофе и чая, 5000 грн*
Мийниця посуду, 5000 грн*
Администратор, 5000 грн*
Кладовщик  рабочий склада, 5000 грн*
Инспектор охраны, 5000 грн*
Секретарь  ассистент руководителя, 5000 грн*
Горничная, 5000 грн*
Член бригады ресторана, 5000 грн*
Оператор call-центра (входящая  исходящая линии), 5000 грн*
Менеджер в отдел продаж МДФ-деталей, 5000 грн*
Водитель со своим авто, 5000 грн*
Оператор call-центра (входящие звонки), 5000 грн*
Повар (с. Крюковщина), 5000 грн*
Оператор call-центра, 5000 грн*
Охранник, 5000 грн*
Медсестра манипуляционная, 5000 грн*
"Журналіст відділу ""Скандали та надзвичайні події""", 5000 грн*
Повар, 5000 грн*
Офис-менеджер, 5000 грн*
Буфетчик на АЗС (мост Патона), 5000 грн*
Водитель-экспедитор, 5000 грн*
Копирайтер, 5000 грн*
Помощник маркетолога, 5000 грн*
Научный редактор, 5000 грн*
Работник зала  официант в ресторан (ст. м. Шулявская), 5000 грн*
Менеджер холодильного оборудования  холодильщик, 5000 грн*
Кассир, 5000 грн*
Швея (мелкий ремонт), 5000 грн*
Администратор-приемщик заказов студии, 5000 грн*
Секретарь руководителя, 5000 грн*
Кассир (Дарницкий р-н  ст. м. Харьковская), 5000 грн*
Продавец-консультант в отдел кулинарии (Дарницкий район), 5000 грн*
Менеджер по подбору персонала, 5000 грн*
Медсестра, 5000 грн*
Охранник-водитель в ГБР, 5000 грн*
Портная  швея в ателье (ТРЦ Sky-Mall), 5000 грн*
Продавец на выкладку товара (стеллажная зона  Дарницкий р-н), 5000 грн*
Помощник повара в кафе, 5000 грн*
Охранник (ТРЦ  магазин одежды  офисный центр), 5000 грн*
Администратор рецепции спорт-клуба, 5000 грн*
Кухонный работник, 5000 грн*
Охранник в жилой комплекс, 5000 грн*
Контент-менеджер, 5000 грн*
Менеджер по активным продажам продуктов издательства, 5000 грн*
Продавець-консультант (р-н Теремки), 5000 грн*
Касир торговельного залу (р-н Теремки), 5000 грн*
Администратор салона красоты, 5000 грн*
Водитель со своим авто (пикап  универсал), 5000 грн*
Курьер, 5000 грн*
Заведующий хозяйством, 5000 грн*
Помощник юриста, 5000 грн*
Водій, 5000 грн*
Бариста, 5000 грн*
Спеціаліст з кредитування фізичних осіб, 5000 грн*
Специалист поддержки  контент-менеджер (HTML  CSS), 5000 грн*
Повар (ул. Княжий затон), 5000 грн*
Помощник юриста визового отдела, 5000 грн*
Специалист сектора бизнеса физических лиц (ст. м. Лукьяновская), 5000 грн*
Кладовщик, 5000 грн*
Водитель-курьер со своим скутером  велосипедом, 5000 грн*
Рерайтер, 5000 грн*
Оператор колл-центра, 5000 грн*
Курьер, 5000 грн*
Администратор салона красоты, 5000 грн*
Менеджер по продажам  оператор на телефон, 5000 грн*
Продавец-консультант, 5000 грн*
Менеджер по активным продажам, 5000 грн*
Администратор гостиницы, 5000 грн*
Хостесс в ресторан, 5000 грн*
Промоутер, 5000 грн*
Менеджер по продажам, 5000 грн*
Специалист по работе с клиентами, 5000 грн*
Администратор по бронированию квартир посуточно  оператор, 5000 грн*
Охранник (магазины одежды  офисный центр), 5000 грн*
Зав. складом  кладовщик, 5000 грн*
Бариста, 5000 грн*
Заготовщик  столовик (кожа  П. Борщаговка), 5000 грн*
Менеджер по продажам, 5000 грн*
Повар, 5000 грн*
Бухгалтер, 5000 грн*
Администратор офиса, 5000 грн*
Продавец лакокрасочных материалов для ремонта автомобилей, 5000 грн*
Мастер маникюра  педикюра  наращивания ногтей, 5000 грн*
Продавец-консультант женской одежды, 5000 грн*
Администратор-приемщик заказов, 5000 грн*
Официант, 5000 грн*
"Преподаватель курса ""Бухгалтерский учет в 1С 8.3""", 5000 грн*
Уборщица-посудомойщица, 5000 грн*
Оператор ПК, 5000 грн*
Сушист, 5000 грн*
Продавец-гитарист, 5000 грн*
Столяр, 5000 грн*
Автор студенческих работ по экономическим дисциплинам, 5000 грн*
Автор студенческих работ по праву (правоведению), 5000 грн*
Продавец-консультант call-centre, 5000 грн*
Продавец-консультант (на телефон), 5000 грн*
Оператор call-центру (лінія візового цeнтру), 5000 грн*
Рекрутер, 5000 грн*
Мойщица посуды, 5000 грн*
Администратор в салон красоты, 5000 грн*
Автомойщик, 5000 грн*
Упаковщица, 5000 грн*
Водитель категории С  Е, 5000 грн*
Оператор-кассир, 5000 грн*
Уборщица, 5000 грн*
Оператор копицентра, 5000 грн*
Консультант по продажам, 5000 грн*
Електрик  електромонтер, 5000 грн*
Монтажник локальных сетей, 5000 грн*
Помощник юриста, 5000 грн*
Футбольный тренер, 5000 грн*
Старший вартовий, 5000 грн*
Автомойщик на предприятие, 5000 грн*
Пекарь, 5000 грн*
Официант, 5000 грн*
Администратор салона красоты, 5000 грн*
Рецепшионист в МРТ-центр, 5000 грн*
Администратор в музыкальную школу, 5000 грн*
Водитель-дальнобойщик в компанию Hoptrans в Литву, 50000 грн
Региональный представитель, 50000 грн
Руководитель группы в консалтинговое агентство, 50000 грн
Директор по продажам (кровельные материалы) в Харьков, 50000 грн
DevOps Engineer, 50000 грн*
Водитель-дальнобойщик в Литву, 50000 грн*
"Директор по продажам (B2B-проект  направление ""Физическая охрана"")", 50000 грн*
Трейдер зерновых и масличных культур со знанием английского языка, 50000 грн*
Трейдер по металлу со знанием английского языка, 50000 грн*
Директор по продажам в строительную компанию, 50000 грн*
QA Automation Engineer, 50000 грн*
Водитель с личным авто, 50000 грн*
Директор по продажам (веб-сайты  холодные звонки), 50000 грн*
Водитель такси, 5005 грн*
Официант, 5060 грн*
Бухгалтер-кассир, 5100 грн
Кассир (Оболонь), 5100 грн
Комірник (ст. м. Либідська), 5100 грн
Старший продавец в аптеку, 5100 грн*
Охранник на склад, 5100 грн*
Старший продавець в аптеку (вул. Щербакова  53), 5100 грн*
Мастер по обслуживанию систем кондиционирования, 5100 грн*
Старший продавец в аптеку, 5100 грн*
Пекарь (с. Крюковщина), 5100 грн*
Електрослюсар, 5100 грн*
Слюсар-ремонтник, 5100 грн*
Мерчендайзер, 5100 грн*
Оператор ПК в Вишневое, 5100 грн*
Оператор колл-центра, 5100 грн*
Оператор на банковский проект, 5200 грн
Кассир (ст. м. Голосеевская), 5200 грн
Повар (р-н Борщаговка), 5200 грн
Специалист по работе с проблемной задолженностью, 5200 грн
Грузчик, 5200 грн
Ассистент стоматолога, 5200 грн
Технік, 5200 грн
Обвальщик мяса (ул. Софии Руссовой  1а  ст. м. Позняки), 5200 грн*
Обвальщик мяса в супермаркет (ст. м. Позняки), 5200 грн*
Кассир (ул. Княжий Затон), 5200 грн*
Обвальщик мяса (Гостомельская пл.  1), 5200 грн*
Обвальщик мяса (ст. м. Академгородок), 5200 грн*
Кассир (ст. м. Черниговская), 5200 грн*
Кассир (ст. м. Харьковская), 5200 грн*
Кассир в супермаркет (ст. м. Дарница), 5200 грн*
Охранник, 5200 грн*
Пекарь в супермаркет (ст. м. Оболонь), 5200 грн*
Кассир в супермаркет (Ленинградская пл. ), 5200 грн*
Обвальщик мяса (ул. Софии Руссовой  1а  ст. м. Позняки), 5200 грн*
Кассир в супермаркет (ст. м. Лесная), 5200 грн*
Пекарь (Гостомельская пл. 1  р-н ул. Берковцы), 5200 грн*
Обвальщик мяса в супермаркет (ст. м. Черниговская), 5200 грн*
Кассир (Голосеевский р-н), 5200 грн*
Кассир (ст. м. Дружбы Народов), 5200 грн*
Пекарь в супермаркет (пр-т Лобановского), 5200 грн*
Обвальщик мяса в супермаркет (ст. м. Позняки), 5200 грн*
Кассир в супермаркет (ст. м. Черниговская), 5200 грн*
Кассир торгового зала (ст. м. Печерская), 5200 грн*
Обвальщик мяса (ул. Княжий затон), 5200 грн*
Мерчендайзер, 5200 грн*
Водитель-экспедитор на авто компании, 5250 грн
Оператор на телефон (доставка воды), 5250 грн
Офіціант на лінію роздачі, 5250 грн
Уборщица  мойщица, 5250 грн*
Бармен, 5250 грн*
Горничная, 5250 грн*
Продавец-обработчик рыбы, 5258 грн
Старший продавец (цех рыбы  пр. Палладина  16/39), 5258 грн
Повар в отдел кулинарии (р-н пл. Шевченко), 5280 грн*
Кассир (пр. Палладина  16/39), 5290 грн
Грузчик, 5300 грн
Кассир, 5300 грн
Оператор в интернет-магазин Intertop, 5300 грн
Кондитер (ул. Большая Окружная), 5300 грн*
Кассир (ст. м. Святошино), 5300 грн*
Кассир (с группой по инвалидности  р-н Южной Борщаговки), 5300 грн*
Кассир торговго зала (р-н Южной Борщаговки), 5300 грн*
Кассир (группа по инвалидности  Гостомельская пл. 1), 5300 грн*
Кассир (Гостомельская пл. 1  р-н ул. Берковецкой), 5300 грн*
Тестомес, 5300 грн*
Мерчендайзер, 5300 грн*
Охранник в гостиницу, 5350 грн
Охранник в гостиницу, 5350 грн
Кассир ресторана (Святошино  Русановка), 5400 грн
Охранник в патрульный автомобиль, 5400 грн
Бармен, 5400 грн
Кассир в пиццерию (ул. Васильковская  8А), 5400 грн
Продавец мясного отдела, 5400 грн*
Продавец отдела гастронома, 5400 грн*
Продавец отдела кулинарии, 5400 грн*
Касир, 5400 грн*
Пекарь (ул. Княжий затон), 5400 грн*
Пекарь (ст. м. Левобережная), 5400 грн*
Пекарь (Ленинградская пл.), 5400 грн*
Пекарь в супермаркет (Ленинградская площадь), 5400 грн*
Рабочий  разнорабочий в пекарню  кондитерский цех в Израиль, 54000 грн*
Мерчендайзер (правий берег), 5500 грн
Оператор пункта выдачи заказов, 5500 грн
Пиццайоло, 5500 грн
Ресепшионист, 5500 грн
Пиццайола, 5500 грн
Старший смены службы безопасности в бизнес-центр, 5500 грн
Помощник SEO-оптимизатора, 5500 грн
Ассистент стоматолога, 5500 грн
Администратор клиники, 5500 грн
Бухгалтер по кассам, 5500 грн
Разнорабочий в садовый центр, 5500 грн
"Продавец-консультант (ТМ Accessorize  ТЦ ""Левобережный"")", 5500 грн
Экспедитор (левый берег), 5500 грн
"Продавец-консультант (ТМ Oodji  ТЦ ""Гулливер"")", 5500 грн
Монтажник ВОЛС, 5500 грн
Веб-программист (стажер), 5500 грн
Охоронець, 5500 грн
"Официант (ТРЦ ""Променада"")", 5500 грн
Оператор call-центра  специалист контакт-center (входящая линия), 5500 грн
Касир, 5500 грн
Охранник (ст. м. Оболонь), 5500 грн
Администратор магазина (продуктовый ритейл  Оболонь  ул. Героев Сталинграда  46), 5500 грн
Фахівець відділу супроводження договорів клієнтів, 5500 грн
Бухгалтер по взаиморасчетам с поставщиками, 5500 грн
Пекарь, 5500 грн
Специалист службы безопасности, 5500 грн
Продавец-консультант (ТМ Oodji  ТЦ Ocean Plaza), 5500 грн
Кассир ресторана, 5500 грн
Бармен (Театральная  Борщаговка), 5500 грн
Хостесс в ресторан, 5500 грн
"Старший продавец (ТМ Pepe Jeans  ТЦ ""Космополит"")", 5500 грн
Офис-менеджер, 5500 грн
Помощник бухгалтера, 5500 грн
Кладовщик (1С  продуктовая группа  р-н Отрадный), 5500 грн
Оператор Call-center, 5500 грн
Комплектовщик (ст. м. Оболонь), 5500 грн
Прибиральниця до приватної школи, 5500 грн
Администратор в косметологический центр (Осокорки), 5500 грн
"Бармен в ""Мураками"" (ст. м. Лыбедская  Теремки)", 5500 грн
Администратор зала в сервисный центр, 5500 грн
Архивариус, 5500 грн
Заведующий складом, 5500 грн
Курьер, 5500 грн
Заведующий складом (Голосеевский район), 5500 грн
Мерчендайзер (правий берег), 5500 грн
Секретарь  офис-менеджер, 5500 грн
"Продавец-консультант (ТM Oodji  ТЦ ""Квадрат"")", 5500 грн
Помощник менеджера по продажам, 5500 грн
Учитель в демократическую школу (стажер), 5500 грн
Кладовщик-грузчик, 5500 грн
Грузчик-кладовщик, 5500 грн
Грузчик, 5500 грн
Администратор интернет-клуба, 5500 грн
Хостес, 5500 грн
Оператор пульта охраны, 5500 грн
Менеджер по работе с клиентами, 5500 грн
"Менеджер по подключению услуги ""Интернет""", 5500 грн*
Полевой тренер, 5500 грн*
Пекарь (ст. м. Осокорки), 5500 грн*
Оператор call-центра, 5500 грн*
Оператор колл-центра (временно), 5500 грн*
Офис-менеджер  секретарь, 5500 грн*
Водитель со своим авто, 5500 грн*
Кладовщик-упаковщик, 5500 грн*
Водитель, 5500 грн*
Кассир лотерейного клуба, 5500 грн*
Кассир (ст. м. Печерская), 5500 грн*
Администратор гостиницы, 5500 грн*
"Менеджер по подключению услуги ""Интернет""", 5500 грн*
Оператор-кассир, 5500 грн*
Грузчик-приемщик (Дарницкий р-н  ночная смена), 5500 грн*
Оператор лотерейного клуба, 5500 грн*
Торговый представитель, 5500 грн*
Пекарь (ст. м. Позняки), 5500 грн*
Фурнитурщица, 5500 грн*
Пекарь  тестомес, 5500 грн*
Помощник менеджера по продажам, 5500 грн*
Повар (ст. м. Харьковская), 5500 грн*
Оператор Call-centre, 5500 грн*
Полевой тренер, 5500 грн*
Пекар, 5500 грн*
Бухгалтер по взаиморасчетам, 5500 грн*
Оператор  менеджер интернет-магазина, 5500 грн*
"Продавец в отдел ""Гастрономия""", 5500 грн*
Помощник повара, 5500 грн*
Пекарь (ст. м. Осокорки), 5500 грн*
Охранник в супермаркет (ст. м. Черниговская), 5500 грн*
Повар (ст. м. Шулявская), 5500 грн*
Клинер  разнорабочий  уборщик в мобильную бригаду, 5500 грн*
Кассир, 5500 грн*
Продавец (ночная смена), 5500 грн*
Оператор call-центра, 5500 грн*
Кладовщик, 5500 грн*
Оператор call-центра, 5500 грн*
Обліковець з реєстрації бухгалтерських даних (Теремки-2  Соломʼянский р-н), 5500 грн*
Ревизор розничной сети, 5500 грн*
Оператор колл-центра (временно), 5500 грн*
Кладовщик-завхоз, 5500 грн*
Продавец в цветочный магазин, 5500 грн*
Вантажник, 5500 грн*
Швея, 5500 грн*
Повар-универсал, 5500 грн*
Офис-менеджер  секретарь, 5500 грн*
Грузчик-сборщик, 5500 грн*
Продавец-консультант, 5500 грн*
Администратор детского центра (Софиевская Борщаговка), 5500 грн*
Помощник бухгалтера (первичная документация), 5500 грн*
Ассистент логиста, 5500 грн*
Педагог раннего развития (Борщаговка), 5500 грн*
Помощник менеджера по продажам, 5500 грн*
"Продавец-консультант в магазин (ТЦ ""Лавина""  ""Глобус""  ""Дрим Таун""  ""Караван"")", 5500 грн*
Руководитель отдела продаж, 55000 грн*
Руководитель отдела продаж, 55000 грн*
Продавец, 5520 грн
Касир, 5550 грн
Повар (пр. Палладина  16/39), 5577 грн
Парикмахер-универсал, 5577 грн*
Пекарь (Днепровский р-н), 5600 грн
Финансовый менеджер, 5600 грн*
Специалист по исследованиям рынка и клиента, 5600 грн*
Заведующий хозяйством в супермаркет (р-н Оболонский), 5600 грн*
Старший продавец (пр. Палладина  16/39), 5643 грн
Пекарь  кондитер, 5700 грн
"Мерчендайзер (ТЦ ""Фоззи"")", 5700 грн
Охранник в гостиницу, 5700 грн
Продавец в супермаркет (кулинарный цех), 5730 грн
Обработчик рыбы (пр. Палладина  16/39), 5775 грн
Кассир билетный, 5800 грн
Портье, 5800 грн
Повар (р-н Троещина), 5800 грн
"Оператор Call-centrе в аптечную сеть ""КОСМО"" (входящие звонки)", 5800 грн
Кассир билетный, 5800 грн
Охранник в торговый центр, 5800 грн*
Менеджер по продажам, 5800 грн*
Водитель на грузовой автомобиль, 5800 грн*
Раздельщик рыбы (Оболонский р-н  ул. Калнышевского  2), 5850 грн*
Раздельщик рыбы в супермаркет (р-н пл. Шевченко), 5850 грн*
Менеджер по персоналу (супермаркет), 5900 грн
Охранник в магазин-бутик, 5940 грн*
Продавец-консультант серебряных украшений, 6000 грн
Бухгалтер по работе с клиентами  заказчиками, 6000 грн
Продавец-консультант парфюмерии (Днепровский  Дарницкий  Оболонь  Виноградарь), 6000 грн
Швея-универсал, 6000 грн
Оператор колл-центра, 6000 грн
Товарознавець в магазин цифрової техніки (ст. м. Льва Толстого), 6000 грн
Оператор call-центра (входящая линия), 6000 грн
Официантка, 6000 грн
Кассир в магазин, 6000 грн
Диспетчер  логист в такси, 6000 грн
Контент-менеджер, 6000 грн
Менеджер отдела контроля качества, 6000 грн
Менеджер отдела контроля качества сервиса, 6000 грн
Продавец-консультант, 6000 грн
Мотокурьер, 6000 грн
Офис-менеджер, 6000 грн
Бухгалтер, 6000 грн
Бухгалтер по работе с клиентами  заказчиками, 6000 грн
Контент-менеджер  копирайтер, 6000 грн
"Продавец-консультант в детский магазин в ТЦ ""Лавина""", 6000 грн
Продавец на выкладку товара, 6000 грн
Кладовщик, 6000 грн
Оператор 1С  бухгалтер по первичной документации, 6000 грн
"Ведущий в передачу ""Сделай сам"" на Youtube", 6000 грн
Охранник, 6000 грн
Мерчендайзер, 6000 грн
Инструктор-аниматор, 6000 грн
Деловод, 6000 грн
Повар-универсал, 6000 грн
Повар карамели ручной работы, 6000 грн
Стилист-ассистент фотографа (ст. м. Петровка), 6000 грн
Водитель на грузовой автомобиль, 6000 грн
Экспедитор, 6000 грн
Горничная в гостиницу, 6000 грн
Журналист-копирайтер, 6000 грн
"Повар в кафе ""Крымские-Каникулы""", 6000 грн
Инженер  оператор ПК  кладовщик, 6000 грн
Помощник бухгалтера по кассовой дисциплине, 6000 грн
Повар на холодный процесс, 6000 грн
Охранник в магазин обуви (б-р Л. Украинки  ст. м. Печерская), 6000 грн
Секретарь, 6000 грн
Оператор 1С  учетчик (Радужный массив  Борщаговка  ст. м. Лукьяновкая  ВДНХ), 6000 грн
Продавец-консультант парфюмерии (Днепровский  Дарницкий  Оболонь  Виноградарь), 6000 грн
Контент-менеджер, 6000 грн
Кассир в магазин, 6000 грн
Швея-универсал, 6000 грн
Слесарь для механосборочных работ, 6000 грн
Оператор call-центра, 6000 грн
Комплектувальник товарів, 6000 грн
Охранник, 6000 грн
Официант, 6000 грн
Сервис-менеджер, 6000 грн
Повар-мангальщик, 6000 грн
Диспетчер, 6000 грн
Ведущий специалист поддержки региональной сети, 6000 грн
Продавец техники, 6000 грн
Мерчендайзер в супермаркеты, 6000 грн
Оператор 1С, 6000 грн
Бухгалтер-кассир  оператор 1С, 6000 грн
Оператор call-centre (левый берег), 6000 грн
Специалист по приему и обработке груза (Петропавловская Борщаговка), 6000 грн
Бухгалтер по первичной документации, 6000 грн
Фотограф  web-дизайнер в интернет-магазин косметики, 6000 грн
Бухгалтер по первичной документации, 6000 грн
Горничная в гостиницу, 6000 грн
Ресепшионист, 6000 грн
Бармен в грузинский ресторан, 6000 грн
Оператор колл-центра, 6000 грн
Кофе-леди, 6000 грн
Помощник продавца-консультанта косметики (Оболонь), 6000 грн
Оператор call-центра  продавец на телефон, 6000 грн
Вантажник (ст. м. Позняки), 6000 грн
Оператор по первичной документации  1С, 6000 грн
Бухгалтер по первичной документации, 6000 грн
Оператор копи-центра, 6000 грн
Накатчик  формовщик стеклопластика, 6000 грн
Кладовщик (полиграфия), 6000 грн
Продавец-консультант, 6000 грн
Завідуючий господарством, 6000 грн
Бухгалтер, 6000 грн
Товарознавець в магазин цифрової техніки (ст. м. Льва Толстого), 6000 грн
Приймальник на склад, 6000 грн
Бухгалтер по первичной документации  операционист 1С, 6000 грн
Упаковщик на склад одежды, 6000 грн
Менеджер по роботі з клієнтами (Борщагівка), 6000 грн
Учетчик, 6000 грн
Кондитер, 6000 грн
Стилист, 6000 грн
Оператор call-центра (входящая линия), 6000 грн
Курьер (Шулявка  ВДНХ), 6000 грн
Электрик на производство  электромонтер, 6000 грн
Водитель, 6000 грн
Пиццайоло  пицца-пекарь (с обучением  Олимпийская  Позняки  Шулявка  ВДНХ), 6000 грн
Редактор  корректор, 6000 грн
Оператор КЦ (ночная смена), 6000 грн
Посудомойщица-уборщица, 6000 грн
Контент-менеджер (SEO), 6000 грн
Ведущий бухгалтер в благотворительную организацию, 6000 грн
Менеджер службы доставки, 6000 грн
Снабженец в Бровары, 6000 грн
Сетевой инженер, 6000 грн
Менеджер по продажам (B2C), 6000 грн
Грузчик, 6000 грн
Кладовщик, 6000 грн
Специалист по работе с базами данных, 6000 грн
Ассистент стоматолога  медсестра, 6000 грн
Официантка, 6000 грн
Оператор Call-centre, 6000 грн
Бухгалтер, 6000 грн
Оператор call-центра, 6000 грн
"Кассир в ""Рукколу"" (Борщаговка)", 6000 грн
Водитель с личным автомобилем, 6000 грн
Пиццайола, 6000 грн
Слесарь механосборочных работ, 6000 грн
Кредитный консультант, 6000 грн
Продавец-консультант, 6000 грн
Автослесарь на разборку, 6000 грн
Секретарь  офис-менеджер, 6000 грн
Менеджер по обработке заказов, 6000 грн
Водитель-экспедитор, 6000 грн
Инженер технической поддержки, 6000 грн
Курьер, 6000 грн
Комірник-комплектувальник, 6000 грн
Специалист по приему и обработке груза (центр), 6000 грн
Оператор почтового отделения (Соломенский р-н), 6000 грн
Помощник печатника, 6000 грн
Карщик, 6000 грн
"Кассир в ""Мураками"" (ст. м. Лыбидская)", 6000 грн
Менеджер по продажам (Telecom), 6000 грн
Оператор call-центра (ночная смена), 6000 грн
Инспектор отдела кадров, 6000 грн
Повар на холодный цех, 6000 грн
Специалист по закупкам, 6000 грн
"Посудомойщица в ресторан ""Ишак"" (ст. м. Дворец Украина)", 6000 грн
Помощник менеджера по продажам и сопровождению клиентов, 6000 грн
Хостес, 6000 грн
Сборщик окон ПВХ в Борисполь, 6000 грн
Экспедитор, 6000 грн
Педагог фортепиано, 6000 грн
Фасовщик-грузчик, 6000 грн
Обвальщик мяса (Голосеевский р-н), 6000 грн
Мерчендайзер, 6000 грн
Кладовщик-помощник (кабельная продукция), 6000 грн
Комплектовщик, 6000 грн
Помощник руководителя, 6000 грн
Менеджер по работе с клиентами  помощник руководителя, 6000 грн
Фасовщица, 6000 грн
Бухгалтер, 6000 грн
Кассир, 6000 грн
Инженер-механик, 6000 грн
Кладовщик, 6000 грн
